0;Abilene Chr;abilene christian wildcats
1;Air Force;air force falcons
2;Akron;akron zips
3;Alabama;alabama crimson tide
4;Alabama A&M;alabama a%26m bulldogs
5;Alabama St;alabama state hornets
6;Albany NY;albany great danes
7;Alcorn St;alcorn state braves
8;Alliant Intl;
9;American Univ;american university eagles
10;Appalachian St;appalachian state mountaineers
11;Arizona;arizona wildcats
12;Arizona St;arizona state sun devils
13;Ark Little Rock;ualr trojans
14;Ark Pine Bluff;uapb golden lions
15;Arkansas;arkansas razorbacks
16;Arkansas St;arkansas state red wolves
17;Armstrong St;
18;Army;army black knights
19;Auburn;auburn tigers
20;Augusta;
21;Austin Peay;austin peay governors
22;BYU;byu cougars
23;Ball St;ball state cardinals
24;Baylor;baylor bears
25;Belmont;belmont bruins
26;Bethune-Cookman;bethune cookman wildcats
27;Binghamton;binghamton bearcats
28;Birmingham So;
29;Boise St;boise state broncos
30;Boston College;boston college eagles
31;Boston Univ;boston university terriers
32;Bowling Green;bowling green falcons
33;Bradley;bradley braves
34;Brooklyn;
35;Brown;brown bears
36;Bryant;bryant bulldogs
37;Bucknell;bucknell bison
38;Buffalo;buffalo bulls
39;Butler;butler bulldogs
40;C Michigan;central michigan chippewas
41;CS Bakersfield;bakersfield roadrunners
42;CS Fullerton;cal state fullerton titans
43;CS Northridge;csun matadors
44;CS Sacramento;sacramento state hornets
45;Cal Poly SLO;cal poly mustangs
46;California;california golden bears
47;Campbell;campbell fighting camels
48;Canisius;canisius golden griffins
49;Cent Arkansas;central arkansas bears
50;Centenary;
51;Central Conn;central connecticut state blue devils
52;Charleston So;charleston southern buccaneers
53;Charlotte;charlotte 49ers
54;Chattanooga;chattanooga mocs
55;Chicago St;chicago state cougars
56;Cincinnati;cincinnati bearcats
57;Citadel;citadel bulldogs
58;Clemson;clemson tigers
59;Cleveland St;cleveland state vikings
60;Coastal Car;coastal carolina chanticleers
61;Col Charleston;charleston cougars
62;Colgate;colgate raiders
63;Colorado;colorado buffaloes
64;Colorado St;colorado state rams
65;Columbia;columbia lions
66;Connecticut;connecticut huskies
67;Coppin St;coppin state eagles
68;Cornell;cornell big red
69;Creighton;creighton bluejays
70;Dartmouth;dartmouth big green
71;Davidson;davidson wildcats
72;Dayton;dayton flyers
73;DePaul;depaul blue demons
74;Delaware;delaware fightin%27 blue hens
75;Delaware St;delaware state hornets
76;Denver;denver pioneers
77;Detroit;detroit titans
78;Drake;drake bulldogs
79;Drexel;drexel dragons
80;Duke;duke blue devils
81;Duquesne;duquesne dukes
82;E Illinois;eastern illinois panthers
83;E Kentucky;eastern kentucky colonels
84;E Michigan;eastern michigan eagles
85;E Washington;eastern washington eagles
86;ETSU;east tennessee state buccaneers
87;East Carolina;east carolina pirates
88;Edwardsville;siue cougars
89;Elon;elon phoenix
90;Evansville;evansville aces
91;F Dickinson;fairleigh dickinson knights
92;FL Atlantic;florida atlantic owls
93;FL Gulf Coast;fgcu eagles
94;Fairfield;fairfield stags
95;Florida;florida gators
96;Florida A&M;florida a%26m rattlers
97;Florida Intl;fiu golden panthers
98;Florida St;florida state seminoles
99;Fordham;fordham rams
100;Fresno St;fresno state bulldogs
101;Furman;furman paladins
102;G Washington;george washington colonials
103;Ga Southern;georgia southern eagles
104;Gardner Webb;gardner webb runnin%27 bulldogs
105;George Mason;george mason patriots
106;Georgetown;georgetown hoyas
107;Georgia;georgia bulldogs
108;Georgia St;georgia state panthers
109;Georgia Tech;georgia tech yellow jackets
110;Gonzaga;gonzaga bulldogs
111;Grambling;grambling state tigers
112;Grand Canyon;grand canyon antelopes
113;Hampton;hampton pirates
114;Hardin-Simmons;
115;Hartford;hartford hawks
116;Harvard;harvard crimson
117;Hawaii;hawaii rainbow warriors
118;High Point;high point panthers
119;Hofstra;hofstra pride
120;Holy Cross;holy cross crusaders
121;Houston;houston cougars
122;Houston Bap;houston baptist huskies
123;Howard;howard bison
124;IL Chicago;uic flames
125;IPFW;ipfw mastodons
126;IUPUI;iupui jaguars
127;Idaho;idaho vandals
128;Idaho St;idaho state bengals
129;Illinois;illinois fighting illini
130;Illinois St;illinois state redbirds
131;Incarnate Word;incarnate word cardinals
132;Indiana;indiana hoosiers
133;Indiana St;indiana state sycamores
134;Iona;iona gaels
135;Iowa;iowa hawkeyes
136;Iowa St;iowa state cyclones
137;Jackson St;jackson state tigers
138;Jacksonville;jacksonville dolphins
139;Jacksonville St;jacksonville state gamecocks
140;James Madison;james madison dukes
141;Kansas;kansas jayhawks
142;Kansas St;kansas state wildcats
143;Kennesaw;kennesaw state owls
144;Kent;kent state golden flashes
145;Kentucky;kentucky wildcats
146;LSU;lsu tigers
147;La Salle;la salle explorers
148;Lafayette;lafayette leopards
149;Lamar;lamar cardinals
150;Lehigh;lehigh mountain hawks
151;Liberty;liberty flames
152;Lipscomb;lipscomb bisons
153;Long Beach St;long beach state 49ers
154;Long Island;liu brooklyn blackbirds
155;Longwood;longwood lancers
156;Louisiana Tech;louisiana tech bulldogs
157;Louisville;louisville cardinals
158;Loy Marymount;loyola marymount lions
159;Loyola MD;loyola maryland greyhounds
160;Loyola-Chicago;loyola chicago ramblers
161;MA Lowell;massachusetts lowell river hawks
162;MD E Shore;maryland eastern shore hawks
163;MS Valley St;mississippi valley state delta devils
164;MTSU;middle tennessee blue raiders
165;Maine;maine black bears
166;Manhattan;manhattan jaspers
167;Marist;marist red foxes
168;Marquette;marquette golden eagles
169;Marshall;marshall thundering herd
170;Maryland;maryland terrapins
171;Massachusetts;massachusetts minutemen
172;McNeese St;mcneese state cowboys
173;Memphis;memphis tigers
174;Mercer;mercer bears
175;Miami FL;miami (fl) hurricanes
176;Miami OH;miami (oh) redhawks
177;Michigan;michigan wolverines
178;Michigan St;michigan state spartans
179;Minnesota;minnesota golden gophers
180;Mississippi;ole miss rebels
181;Mississippi St;mississippi state bulldogs
182;Missouri;missouri tigers
183;Missouri KC;umkc kangaroos
184;Missouri St;missouri state bears
185;Monmouth NJ;monmouth hawks
186;Montana;montana grizzlies
187;Montana St;montana state bobcats
188;Morehead St;morehead state eagles
189;Morgan St;morgan state bears
190;Morris Brown;
191;Mt St Mary's;mount st mary%27s mountaineers
192;Murray St;murray state racers
193;N Colorado;northern colorado bears
194;N Dakota St;north dakota state bison
195;N Illinois;northern illinois huskies
196;N Kentucky;northern kentucky norse
197;NC A&T;north carolina a%26t aggies
198;NC Central;north carolina central eagles
199;NC State;north carolina state wolfpack
200;NE Illinois;
201;NE Omaha;omaha mavericks
202;NJIT;njit highlanders
203;Navy;navy midshipmen
204;Nebraska;nebraska cornhuskers
205;Nevada;nevada wolf pack
206;New Hampshire;new hampshire wildcats
207;New Mexico;new mexico lobos
208;New Mexico St;new mexico state aggies
209;New Orleans;new orleans privateers
210;Niagara;niagara purple eagles
211;Nicholls St;nicholls colonels
212;Norfolk St;norfolk state spartans
213;North Carolina;north carolina tar heels
214;North Dakota;
215;North Florida;north florida ospreys
216;North Texas;north texas mean green
217;Northeastern;northeastern huskies
218;Northern Arizona;northern arizona lumberjacks
219;Northern Iowa;uni panthers
220;Northwestern;northwestern wildcats
221;Northwestern LA;northwestern state demons
222;Notre Dame;notre dame fighting irish
223;Oakland;oakland golden grizzlies
224;Ohio;ohio bobcats
225;Ohio St;ohio state buckeyes
226;Okla City;
227;Oklahoma;oklahoma sooners
228;Oklahoma St;oklahoma state cowboys
229;Old Dominion;old dominion monarchs
230;Oral Roberts;oral roberts golden eagles
231;Oregon;oregon ducks
232;Oregon St;oregon state beavers
233;Pacific;pacific tigers
234;Penn;penn quakers
235;Penn St;penn state nittany lions
236;Pepperdine;pepperdine waves
237;Pittsburgh;pittsburgh panthers
238;Portland;portland pilots
239;Portland St;portland state vikings
240;Prairie View;prairie view a%26m panthers
241;Presbyterian;presbyterian blue hose
242;Princeton;princeton tigers
243;Providence;providence friars
244;Purdue;purdue boilermakers
245;Quinnipiac;quinnipiac bobcats
246;Radford;radford highlanders
247;Rhode Island;rhode island rams
248;Rice;rice owls
249;Richmond;richmond spiders
250;Rider;rider broncs
251;Robert Morris;robert morris colonials
252;Rutgers;rutgers scarlet knights
253;S Carolina St;south carolina state bulldogs
254;S Dakota St;south dakota state jackrabbits
255;S Illinois;southern illinois salukis
256;SC Upstate;usc upstate spartans
257;SE Louisiana;southeastern louisiana lions
258;SE Missouri St;southeast missouri state redhawks
259;SF Austin;stephen f austin lumberjacks
260;SMU;smu mustangs
261;Sacred Heart;sacred heart pioneers
262;Sam Houston St;sam houston state bearkats
263;Samford;samford bulldogs
264;San Diego;san diego toreros
265;San Diego St;san diego state aztecs
266;San Francisco;san francisco dons
267;San Jose St;san jose state spartans
268;Santa Barbara;uc santa barbara gauchos
269;Santa Clara;santa clara broncos
270;Savannah St;savannah state tigers
271;Seattle;seattle redhawks
272;Seton Hall;seton hall pirates
273;Siena;siena saints
274;South Alabama;south alabama jaguars
275;South Carolina;south carolina gamecocks
276;South Dakota;south dakota coyotes
277;South Florida;south florida bulls
278;Southern Miss;southern miss golden eagles
279;Southern Univ;southern university jaguars
280;Southern Utah;southern utah thunderbirds
281;St Bonaventure;st bonaventure bonnies
282;St Francis NY;st francis brooklyn terriers
283;St Francis PA;saint francis u red flash
284;St John's;st john%27s red storm
285;St Joseph's PA;saint joseph%27s hawks
286;St Louis;saint louis billikens
287;St Mary's CA;saint mary%27s gaels
288;St Peter's;saint peter%27s peacocks
289;Stanford;stanford cardinal
290;Stetson;stetson hatters
291;Stony Brook;stony brook seawolves
292;Syracuse;syracuse orange
293;TAM C. Christi;texas a%26m corpus christi islanders
294;TCU;tcu horned frogs
295;TN Martin;ut martin skyhawks
296;TX Pan American;texas pan american broncs
297;TX Southern;texas southern tigers
298;Temple;temple owls
299;Tennessee;tennessee volunteers
300;Tennessee St;tennessee state tigers
301;Tennessee Tech;tennessee tech golden eagles
302;Texas;texas longhorns
303;Texas A&M;texas a%26m aggies
304;Texas St;texas state bobcats
305;Texas Tech;texas tech red raiders
306;Toledo;toledo rockets
307;Towson;towson tigers
308;Troy;troy trojans
309;Tulane;tulane green wave
310;Tulsa;tulsa golden hurricane
311;UAB;uab blazers
312;UC Davis;uc davis aggies
313;UC Irvine;uc irvine anteaters
314;UC Riverside;uc riverside highlanders
315;UCF;ucf knights
316;UCLA;ucla bruins
317;ULL;
318;ULM;
319;UMBC;umbc retrievers
320;UNC Asheville;unc asheville bulldogs
321;UNC Greensboro;uncg spartans
322;UNC Wilmington;uncw seahawks
323;UNLV;unlv runnin%27 rebels
324;USC;usc trojans
325;UT Arlington;ut arlington mavericks
326;UT San Antonio;utsa roadrunners
327;UTEP;utep miners
328;Utah;utah runnin%27 utes
329;Utah St;utah state aggies
330;Utah Valley;utah valley wolverines
331;Utica;
332;VA Commonwealth;vcu rams
333;VMI;vmi keydets
334;Valparaiso;valparaiso crusaders
335;Vanderbilt;vanderbilt commodores
336;Vermont;vermont catamounts
337;Villanova;villanova wildcats
338;Virginia;virginia cavaliers
339;Virginia Tech;virginia tech hokies
340;W Carolina;western carolina catamounts
341;W Illinois;western illinois leathernecks
342;W Kentucky;western kentucky hilltoppers
343;W Michigan;western michigan broncos
344;W Salem St;
345;W Texas A&M;
346;WI Green Bay;green bay phoenix
347;WI Milwaukee;milwaukee panthers
348;Wagner;wagner seahawks
349;Wake Forest;wake forest demon deacons
350;Washington;washington huskies
351;Washington St;washington state cougars
352;Weber St;weber state wildcats
353;West Virginia;west virginia mountaineers
354;Wichita St;wichita state shockers
355;William & Mary;william %26 mary tribe
356;Winthrop;winthrop eagles
357;Wisconsin;wisconsin badgers
358;Wofford;wofford terriers
359;Wright St;wright state raiders
360;Wyoming;wyoming cowboys
361;Xavier;xavier musketeers
362;Yale;yale bulldogs
363;Youngstown St;youngstown state penguins
